order,seasonal_order,aic,bic,rmse,mae,ljungbox_pvalue,shapiro_pvalue
"(0, 1, 1)","(1, 0, 1, 12)",47.62911391778989,58.24495531841998,0.5854420414715488,0.45205086595679117,0.6554881744561183,0.0002739069789262649
"(1, 1, 1)","(1, 0, 1, 12)",49.12840569201323,62.398207442800846,0.5907521540602552,0.45217724152989436,0.6094710019330272,0.0001487570203660553
"(0, 1, 2)","(1, 0, 1, 12)",49.38856969678375,62.61052419249061,0.5925397759703517,0.4537990281238255,0.5848464271308107,0.0001264364630699199
"(1, 1, 2)","(1, 0, 1, 12)",49.81488866782574,65.68123406267398,0.5910214646935958,0.45379772131846297,0.5605846882076222,3.873641125349248e-05
"(2, 1, 1)","(1, 0, 1, 12)",49.9462916492575,65.87005375020264,0.5812180243855632,0.45114015831438103,0.6489909234900357,0.00032012475240833185
"(2, 1, 2)","(1, 0, 1, 12)",51.14321004315441,69.65394633714402,0.5839153818999043,0.45201811548730514,0.6904132052360689,0.00015126240925341896
"(0, 0, 1)","(0, 1, 1, 12)",55.84690874198612,63.47679308879613,0.5101996740198622,0.3985345959831548,0.2348135233525699,0.00013468586992583122
"(1, 0, 0)","(0, 1, 1, 12)",56.626353609142456,64.28798428394407,0.5025218269277492,0.393931378499998,0.43331477175948363,0.00013294101258323233
"(1, 0, 2)","(0, 1, 1, 12)",56.78330022342929,69.44629768919557,0.49997092400366044,0.3903489544301273,0.25473226164772816,0.00018517671158498438
"(1, 0, 1)","(0, 1, 1, 12)",56.85031153640729,67.0234906654873,0.49181971819582004,0.385023239247862,0.4852154434548053,0.00017029953714374867
"(0, 1, 1)","(0, 1, 1, 12)",57.617015722748356,65.21481420220812,0.5285991195135624,0.4284585980050293,0.348656306976008,0.010337071812278515
"(0, 0, 2)","(0, 1, 1, 12)",57.657131636805325,67.78752960941836,0.5066513360823783,0.39648484944862067,0.2660362063056166,0.00019050070222296513
"(2, 0, 0)","(0, 1, 1, 12)",57.940826146715835,68.156333713118,0.5054563955220727,0.39576314063457363,0.34041884533149597,0.00010743752418001853
"(0, 1, 2)","(0, 1, 1, 12)",58.3194098017946,68.40656410999077,0.5299796116412748,0.42551737870709666,0.17843467965311902,0.006119287770454978
"(2, 0, 2)","(0, 1, 1, 12)",58.695321705041266,73.8909186639608,0.49997104510630014,0.39036685060163373,0.2999101341781883,0.00012817251832439655
"(1, 1, 1)","(0, 1, 1, 12)",59.34793887234835,69.47833684496138,0.5276888921414459,0.42486714489303407,0.28738339874120744,0.007028084569373277
"(0, 0, 0)","(0, 1, 1, 12)",59.43195108065178,64.53970486385286,0.5022233191304712,0.3935493405014278,0.06229120674138958,0.00028919217114703775
"(2, 1, 1)","(0, 1, 1, 12)",59.62808955639771,72.29108702216399,0.5336280856252906,0.4312526316360681,0.18014301824896609,0.0073121326131539285
"(2, 0, 1)","(0, 1, 1, 12)",60.25360493305529,72.97007884440531,0.5040142577937675,0.39488016937407516,0.39556472019679695,8.752039411336925e-05
"(1, 1, 2)","(0, 1, 1, 12)",60.2927995036725,72.9017423889177,0.5302197275519476,0.42570590652395973,0.19455650409245903,0.004688717702877524
"(1, 1, 1)","(1, 0, 0, 12)",60.38744304699534,71.0411994234436,0.5333730214098534,0.41189228339441647,0.7227548712360241,1.9409966812875667e-06
"(1, 1, 2)","(1, 0, 0, 12)",60.96213974632679,74.27933521688712,0.5377468981267867,0.41461016497400077,0.6780138825871819,1.9939308116590934e-06
"(0, 1, 1)","(1, 0, 0, 12)",61.31910059899811,69.33758710238382,0.5415823671860679,0.4363997342133359,0.646986459234624,5.953352847108832e-05
"(2, 1, 2)","(0, 1, 1, 12)",61.333274146044445,76.46400560833868,0.5387480934030021,0.43735615979374326,0.1346400318990817,0.016652571494398027
"(0, 1, 2)","(1, 0, 0, 12)",61.38531709877752,72.07663243662515,0.5334728063914427,0.41216944830594765,0.6693059990871266,2.1509962871749263e-06
"(0, 1, 2)","(0, 0, 1, 12)",61.914206874671365,72.49177047123686,0.531543342906785,0.4108810479251945,0.725792854606282,5.092843577056836e-06
"(2, 1, 1)","(1, 0, 0, 12)",61.979145414010134,75.24894716479776,0.5463909484111784,0.43962531597651205,0.8140791096318395,3.0370264965951414e-05
"(1, 0, 0)","(1, 1, 1, 12)",62.65915301125385,72.87466057765602,0.5007628613157235,0.39698250163146315,0.32592955009815866,0.0001826978393332141
"(1, 1, 1)","(0, 0, 1, 12)",62.926958845885686,73.54280024651578,0.5272780845140426,0.4076647460189214,0.8507074480715767,7.448545357225931e-06
"(0, 0, 1)","(1, 1, 1, 12)",63.04850146844855,73.22168059752856,0.5031981859369833,0.3983728438411153,0.21297031679431142,0.0002306462942795007
"(1, 1, 2)","(0, 0, 1, 12)",63.74512961623037,76.96708411193723,0.5293433445374709,0.40933373890924857,0.6534948844582438,2.4936751940530814e-06
"(2, 1, 2)","(1, 0, 0, 12)",63.977099995470624,79.90086209641576,0.5471793269846873,0.44037027647435006,0.8147040737142376,3.679858942108193e-05
"(2, 1, 1)","(0, 0, 1, 12)",64.06410899089502,77.33391074168264,0.5303557554206284,0.40976979609145286,0.8992847583305091,4.980759983440256e-06
"(0, 1, 1)","(0, 0, 1, 12)",64.33456320991013,72.29644426038269,0.5131431690373629,0.39793232375454685,0.7705576505580092,1.5344811014792534e-06
"(0, 0, 0)","(1, 1, 1, 12)",64.44622348565399,72.10785416045562,0.5013255446026958,0.39578366456989356,0.04049433224380479,0.00019182728013860935
"(2, 0, 0)","(1, 1, 1, 12)",64.5473192246643,77.26379313601431,0.4984701351170259,0.3955053323217115,0.36065356782458524,0.00020302185256854035
"(0, 0, 2)","(1, 1, 1, 12)",64.5575157825345,77.22051324830078,0.5006172962793943,0.39724210788539366,0.267206324510226,0.00032662906787485834
"(2, 1, 0)","(1, 0, 1, 12)",65.42753753000696,78.69733928079458,0.5730946510482178,0.449239718792168,0.016017413272887773,0.005200208455969572
"(2, 1, 2)","(0, 0, 1, 12)",65.66596457279499,81.53230996764323,0.5308050092599387,0.41038111784822134,0.8152109352989579,4.2065231774902195e-06
"(0, 1, 1)","(1, 1, 1, 12)",66.19989734313606,76.33029531574908,0.5329306071962095,0.4310786352126528,0.29195218468862283,0.00165208406076225
"(2, 0, 1)","(1, 1, 1, 12)",66.37490953582042,81.63467822944045,0.49673758781884,0.3943066045756863,0.41482588829654826,0.00014168727938898158
"(1, 0, 2)","(1, 1, 1, 12)",66.65634573228895,81.85194269120849,0.48767686254167836,0.38623091810975757,0.2661637399355435,0.0004347304065608669
"(1, 0, 1)","(1, 1, 1, 12)",68.10163919762087,80.81811310897089,0.48722852301672315,0.3863918022233543,0.22771947169655557,0.00024891587918923454
"(0, 1, 2)","(1, 1, 1, 12)",68.16194106523457,80.77088395047977,0.5331366389791025,0.4300467008349625,0.2885916232528349,0.001474763363300569
"(1, 1, 1)","(1, 1, 1, 12)",68.16703531580364,80.83003278156993,0.5329087234531532,0.4303271245227503,0.27700592986140943,0.0014500596375136958
"(2, 0, 2)","(1, 1, 1, 12)",68.6365608573989,86.36475730947168,0.4888995932754949,0.38725576646357246,0.2232226078038027,0.0005363330409168729
"(1, 1, 2)","(1, 1, 1, 12)",69.30480590899546,84.43553737128971,0.5387886140911745,0.4408994342542256,0.1461754559404476,0.002718663429550464
"(2, 1, 1)","(1, 1, 1, 12)",69.63872474855171,84.83432170747125,0.5331922377841929,0.4320972120521269,0.30513930715696697,0.0003001878675402291
"(1, 0, 0)","(1, 1, 0, 12)",70.78782841107535,78.44945908587698,0.48222709707892464,0.3762333905567708,0.18038964114714068,0.00011033580615266911
"(2, 1, 2)","(1, 1, 1, 12)",70.79088761251911,88.4434076518624,0.5390549495725202,0.43680212422328824,0.18859095957326572,0.0015124410531224513
"(1, 0, 1)","(1, 1, 0, 12)",71.27152510975547,81.48703267615764,0.4793267263423367,0.37432823095855833,0.31689931314709713,6.397331591991385e-05
"(2, 0, 0)","(1, 1, 0, 12)",72.38897342829156,82.56215255737158,0.4815064011909179,0.37573557352941206,0.25399562447738,0.00019831679572407488
"(0, 1, 2)","(0, 0, 0, 12)",72.82525939353971,81.0860299668588,0.5870507054678041,0.45428618648612246,0.10076616248021954,3.4252209597695404e-05
"(1, 0, 2)","(1, 1, 0, 12)",73.22838886177482,85.99777331977751,0.4789653803058741,0.37407321730208015,0.3260355420919103,6.959020201874483e-05
"(2, 0, 1)","(1, 1, 0, 12)",74.04416446148768,86.7606383728377,0.4808253540627227,0.3752928799345927,0.30658831021608374,0.00016094205832808966
"(2, 1, 1)","(0, 0, 0, 12)",74.09883797926682,85.14753371845785,0.5868088097512681,0.44524861455343206,0.19948000983449143,6.323461825488725e-05
"(1, 1, 2)","(0, 0, 0, 12)",74.18085177579484,85.1952125402203,0.585271195222186,0.45289488612309153,0.10195515187037973,3.403609470716575e-05
"(2, 1, 2)","(0, 0, 0, 12)",75.38324968505306,89.15120064058488,0.5862240869095238,0.4534073014510129,0.19268310266564953,1.0642214693669044e-05
"(2, 0, 2)","(1, 1, 0, 12)",75.44605415144713,90.70582284506715,0.4795284984559409,0.37451051751628367,0.3093153643150805,0.00020910618625601753
"(1, 1, 1)","(0, 0, 0, 12)",75.72694463308873,84.01346643748201,0.585475348517088,0.4526471830864069,0.08029275393717207,8.020111335345638e-05
"(2, 1, 1)","(1, 1, 0, 12)",76.02800497844208,88.69100244420837,0.5537447107589608,0.4775105952569301,0.4012316656589187,0.00435309265954378
"(2, 1, 0)","(0, 1, 1, 12)",77.09979913439196,87.27297826347197,0.49281111007132933,0.3859277234765706,0.013116667392475823,0.0555553273272904
"(2, 1, 2)","(1, 1, 0, 12)",77.82385316439742,93.01945012331696,0.5496875600723418,0.47260515170750955,0.276536910260215,0.0035800994449722025
"(2, 1, 0)","(1, 0, 0, 12)",79.22416530954683,89.84000671017692,0.504589334072499,0.3948135295437576,0.007311096453780713,0.003537601776073728
"(0, 1, 1)","(0, 0, 0, 12)",80.16763054025087,85.69197840984639,0.5786578403257838,0.4484803919913341,0.010259346730307822,0.00011142173579150104
"(1, 1, 1)","(1, 1, 0, 12)",80.78381193123481,90.95699106031482,0.5565252762327632,0.48079217364700183,0.2489783538057134,0.007138598442158704
"(0, 0, 1)","(1, 1, 0, 12)",81.37980605755719,89.0728506319607,0.4816268234294022,0.37580100831889346,0.10663365360826521,0.00014333422277416417
"(0, 1, 1)","(1, 1, 0, 12)",81.92377052512798,89.5854011999296,0.5558986980127839,0.4803773290593197,0.2845545356657175,0.003403920139059186
"(1, 1, 2)","(1, 1, 0, 12)",82.5222326224677,95.23870653381772,0.5561288818355682,0.48059001130975104,0.38003153759566205,0.0024635306815508355
"(1, 1, 0)","(1, 0, 1, 12)",82.52769683552714,93.18145321197541,0.5909195268485543,0.4680610852268518,0.010371860816603346,0.00564113974732798
"(2, 1, 0)","(1, 1, 1, 12)",83.02101502001369,95.68401248577997,0.4886526508308884,0.3863758346385056,0.03877390741486437,0.0036068860313344555
"(0, 0, 2)","(1, 1, 0, 12)",83.03210019064882,93.28949295652016,0.48145762233041167,0.37565141101598437,0.141049740729456,0.0001998923340673214
"(0, 0, 0)","(1, 1, 0, 12)",83.04694840304951,88.17564478598518,0.47929170543917804,0.3739588819267487,0.012634433291448281,0.00023416944818583762
"(0, 1, 2)","(1, 1, 0, 12)",83.85407860486079,94.06958617126296,0.5566088653319172,0.4809532932245701,0.2598713732311703,0.002515390175765757
"(2, 1, 0)","(0, 0, 1, 12)",84.13540083165712,94.7891572081054,0.5029098324367546,0.4014138430527368,0.003070276564458771,0.002273207154255448
"(2, 1, 0)","(1, 1, 0, 12)",85.88610031070793,96.01649828332096,0.4822180694986941,0.38056574054568765,0.04908943740817126,0.01624482334630123
"(1, 1, 0)","(0, 1, 1, 12)",89.52182844173133,97.15171278854135,0.5021612544157187,0.394039067809046,0.005605144878826698,0.1202926298839046
"(1, 1, 0)","(1, 0, 0, 12)",91.89249100746832,99.88280828980453,0.5279860427767541,0.4187840253257454,0.0026442815346792866,0.002024060068502186
"(1, 1, 0)","(0, 0, 1, 12)",94.04782017685069,102.03813745918688,0.5309578102880401,0.42546672617130427,0.0017847382233438789,0.0019456118829542714
"(1, 1, 0)","(1, 1, 1, 12)",96.07102261109415,106.24420174017416,0.49633229404351137,0.39456819558494355,0.006026754263499073,0.06120840510774084
"(0, 0, 0)","(0, 1, 0, 12)",97.80513803965434,100.47796687411625,0.48253669981325426,0.3708333333333333,0.005322550302529652,0.0016605564968993044
"(0, 0, 1)","(0, 1, 0, 12)",98.26880258002832,103.59568076825245,0.4835741888901321,0.3719077644923517,0.010124052955560226,0.0008392861557764976
"(1, 0, 0)","(0, 1, 0, 12)",98.67042046678542,104.01607813570922,0.4838207103438084,0.3720438295734741,0.011539212247115477,0.0009431830032465623
"(1, 0, 2)","(0, 1, 0, 12)",98.96779552920981,109.5836369298399,0.4813490018124242,0.3724334877350337,0.06051736887820027,0.015126772097064738
"(1, 0, 1)","(0, 1, 0, 12)",99.08778364586381,107.0781009282,0.4822870955335912,0.37249757181856946,0.05119733763802482,0.009793635711055012
"(0, 1, 0)","(1, 0, 1, 12)",99.46721205091815,107.45752933325434,0.6551091671730689,0.5625127248805137,0.005493900804057582,0.0026073376588772413
"(0, 0, 2)","(0, 1, 0, 12)",99.61448856773671,107.57636961820928,0.48380961931401223,0.3720268205127788,0.01088025916907939,0.000924784451703561
"(0, 1, 2)","(0, 1, 0, 12)",99.66538518443714,107.59855788186125,0.5357009327467028,0.46018766238865716,0.009943914890353497,0.12182169331566017
"(2, 0, 0)","(0, 1, 0, 12)",100.17181283730305,108.16213011963924,0.48399809653109716,0.3719921774020652,0.013466556627670753,0.0014080445401619518
"(0, 1, 1)","(0, 1, 0, 12)",100.43434246341535,105.7422631637304,0.5363624204368246,0.46135244549909277,0.00657946357167657,0.056492994357769964
"(1, 1, 0)","(1, 1, 0, 12)",101.1191887594044,108.74907310621441,0.482547566414236,0.3766690146248546,0.00275227229769761,0.08134577552700228
"(2, 0, 2)","(0, 1, 0, 12)",101.29805462094193,114.56785637172953,0.483150434468449,0.37485017857580294,0.04304666900003787,0.005454610990405816
"(1, 1, 2)","(0, 1, 0, 12)",101.50556542543595,112.08312902200143,0.5328669995834683,0.4566117869440567,0.014040875830945992,0.15377742353261953
"(2, 0, 1)","(0, 1, 0, 12)",101.93987142036312,112.59362779681139,0.483841187942351,0.37170195485495716,0.01778897421904042,0.002372391419191724
"(0, 1, 0)","(0, 1, 1, 12)",102.07019088318881,107.15678044772882,0.5194089624258227,0.4063090781578063,0.0006534959538374809,0.009558258247763877
"(2, 1, 2)","(0, 1, 0, 12)",102.0862241590266,115.30817865473347,0.5184650610730116,0.44187805951595216,0.016123277552445227,0.2168085994508271
"(1, 1, 1)","(0, 1, 0, 12)",102.42968441557284,110.3915654660454,0.5364163289627105,0.4613821498413116,0.007030010560175307,0.0647115048657324
"(2, 1, 1)","(0, 1, 0, 12)",102.90887730636598,113.52471870699607,0.5222503348269335,0.4469930923701943,0.013087102421328219,0.15077377063226738
"(2, 1, 0)","(0, 0, 0, 12)",103.42141445368429,111.70793625807757,0.5745649783071898,0.45284712810310795,7.369714395088295e-06,0.006528742500761946
"(0, 1, 0)","(0, 0, 1, 12)",106.93631637964364,112.26319456786777,0.5621754933634001,0.4554572441784217,0.004661083337771044,0.0001736952033385004
"(0, 1, 0)","(1, 0, 0, 12)",109.44468538642805,114.79034305535185,0.5560960896894237,0.44847431354829154,0.001866100406110429,6.64891043798689e-05
"(0, 1, 0)","(1, 1, 1, 12)",113.41759594930262,121.04748029611264,0.505503657076466,0.40331589906870075,0.000375461775793327,0.03230395894555075
"(2, 1, 0)","(0, 1, 0, 12)",116.79761749773171,124.75949854820428,0.46973750382269525,0.3584938742189972,0.001051071931638302,0.4832673079118038
"(1, 1, 0)","(0, 0, 0, 12)",119.09999963255606,124.6413688814874,0.5933754904315194,0.47849808570228736,7.54560521654873e-06,0.012915651235275185
"(0, 1, 0)","(1, 1, 0, 12)",120.98023512275282,126.08798890595389,0.4812091135085453,0.37403864323750596,4.172049605686526e-05,0.0019295626967066007
"(0, 1, 0)","(0, 0, 0, 12)",127.81505147639646,130.58573610086214,0.6107850140052008,0.5075000000000001,0.0006285307335396484,0.00046846077327110413
"(1, 1, 0)","(0, 1, 0, 12)",136.5324635006679,141.85934168889202,0.46936028754074127,0.35357063152298945,6.081720689583834e-07,0.30786449085865375
"(0, 1, 0)","(0, 1, 0, 12)",160.18580990272093,162.849248996833,0.4649283098860322,0.35083333333333333,2.2338698736796867e-10,0.0006436855428109159
